id,neighborhood,property_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,rating,superhost,response_time,minimum_nights,maximum_nights,latitude,longitude
181078,Kalorama Heights,Apartment,4,2.0,2,250,950,135,97.0,1,within an hour,4,14,38.92009,-77.04137
181455,Friendship Heights,Apartment,1,1.0,1,80,0,75,100.0,1,within an hour,2,14,38.95173,-77.08628
184144,Dupont Circle,Apartment,1,1.0,1,100,1000,100,95.0,0,within a day,120,360,38.91314000000001,-77.04431
189961,Capitol View,House,2,1.0,1,59,0,0,,0,,1,730,38.88359000000001,-76.92951
195344,Downtown,Condominium,4,1.5,1,149,200,79,94.0,0,within an hour,2,730,38.90123,-77.01751999999998
196429,Takoma,Guest suite,3,1.0,0,99,100,60,80.0,0,within an hour,2,1825,38.96995,-77.01984
198685,Edgewood,Townhouse,2,1.5,1,65,0,10,94.0,0,a few days or more,1,365,38.93404,-77.01488
201116,Takoma,Apartment,2,1.0,1,90,0,0,90.0,0,within a few hours,1,730,38.97291,-77.02063000000003
204741,Congress Heights,Condominium,2,1.0,1,35,200,99,92.0,1,within an hour,28,365,38.82771,-76.99404
205809,Brightwood Park,Townhouse,6,3.0,3,199,500,99,97.0,0,,4,60,38.9581,-77.02271
211986,Dupont Circle,House,3,1.0,1,269,0,50,85.0,0,a few days or more,30,365,38.91297,-77.0465
223922,Brightwood Park,House,4,1.5,1,109,0,25,93.0,1,within a few hours,1,1125,38.94363,-77.04562
246413,Capitol Hill,Townhouse,3,1.0,1,78,149,0,97.0,0,within an hour,1,365,38.88535,-76.98183
252300,Sheridan,Apartment,2,1.0,1,90,300,60,90.0,0,within a day,5,365,38.8587,-76.98736
262629,Lamont Riggs,House,2,1.0,1,58,250,35,97.0,1,within a day,150,1000,38.96703,-77.00426
266852,Union Station,Guest suite,2,1.0,1,85,0,50,96.0,1,within an hour,2,30,38.89661,-76.98703
274737,Georgetown,House,1,1.0,1,125,150,150,99.0,1,within an hour,3,14,38.91368,-77.07195
276193,Columbia Heights,Townhouse,1,1.0,1,55,0,25,95.0,0,within an hour,3,365,38.92499,-77.02831
281806,Dupont Circle,Apartment,6,2.0,3,280,650,145,95.0,1,within an hour,2,28,38.91613,-77.03572
284165,Howard University,Apartment,4,1.0,1,99,150,75,92.0,0,within an hour,2,180,38.91571,-77.0177
286083,Columbia Heights,Loft,6,1.0,1,145,500,100,94.0,0,within a day,1,1125,38.93107,-77.03885
290001,Shaw,Townhouse,2,1.0,1,150,100,50,96.0,1,within an hour,2,14,38.90968,-77.02747
296196,Dupont Circle,Apartment,4,1.0,1,149,150,0,99.0,1,within an hour,3,1125,38.91452,-77.03554
299030,Colonial Village,House,2,1.5,1,85,0,0,97.0,0,within a few hours,1,90,38.98123,-77.02885
303370,Kalorama Heights,Apartment,3,1.0,1,90,250,150,94.0,0,within a day,90,700,38.91984,-77.04481
303694,Brightwood Park,Guest suite,4,1.0,1,109,125,39,97.0,1,,3,130,38.94226,-77.01665
303723,Howard University,Guest suite,2,1.0,1,120,100,50,96.0,0,within an hour,2,180,38.91662,-77.02539
304188,Columbia Heights,Townhouse,2,2.0,1,65,175,25,96.0,1,within an hour,1,21,38.92413,-77.02878
305783,Sheridan,Apartment,2,1.0,1,90,300,60,80.0,0,within a day,5,365,38.85618,-76.98689
306465,Dupont Circle,Apartment,4,1.0,1,325,500,50,94.0,0,a few days or more,30,365,38.91297,-77.0465
313405,Colonial Village,House,3,,1,75,0,0,87.0,0,within a few hours,1,90,38.98052,-77.02991999999998
316270,Brightwood Park,Apartment,6,1.0,1,83,350,60,95.0,1,within an hour,1,330,38.93807,-77.01982
321642,Capitol Hill,Apartment,4,1.0,1,140,200,50,94.0,0,,1,1125,38.88212,-76.99944
322610,Union Station,Apartment,3,2.0,2,125,0,0,,0,within a day,5,1125,38.89994,-77.00106
322611,Union Station,Apartment,3,2.0,2,100,300,250,,0,within a day,30,240,38.90065,-77.00129
339208,Capitol View,Apartment,6,1.0,2,75,0,75,94.0,1,within an hour,4,365,38.89057,-76.93441999999997
355527,Capitol Hill,Apartment,3,1.0,1,125,250,70,95.0,0,within an hour,2,90,38.88513,-77.00384
373462,Capitol Hill,Townhouse,5,1.5,3,175,299,60,92.0,0,within an hour,2,365,38.88394,-76.98212
382111,Capitol Hill,Apartment,4,1.0,1,175,100,80,96.0,1,within an hour,3,29,38.89,-76.99466
407014,Shaw,Apartment,6,1.0,1,139,0,70,92.0,1,within an hour,2,1125,38.911,-77.02074
409582,Capitol Hill,Apartment,5,1.0,1,188,400,45,97.0,1,within an hour,1,180,38.88306,-76.99497
416371,Dupont Circle,Townhouse,2,1.5,1,150,0,20,99.0,1,within an hour,2,5,38.90945,-77.03591
427825,Edgewood,Townhouse,2,1.0,2,149,500,120,89.0,1,within a few hours,10,270,38.91973,-77.01392
437005,Historic Anacostia,House,2,2.0,1,60,0,0,97.0,1,within an hour,2,120,38.86124,-76.98865
441177,Howard University,Apartment,2,1.0,1,80,150,40,,0,,1,3,38.91814,-77.03373
442605,Brightwood Park,Apartment,1,1.0,1,59,225,35,99.0,0,within an hour,4,30,38.94202,-77.02226
453159,Capitol Hill,Guest suite,5,2.0,2,159,100,112,98.0,1,within an hour,4,180,38.87995,-76.98545
453315,Union Station,Guest suite,2,1.0,1,89,0,0,98.0,1,within an hour,2,60,38.8954,-76.98694
458046,Capitol Hill,House,6,2.5,4,265,0,150,100.0,1,within an hour,80,365,38.88536,-77.00601
464177,Cleveland Park,Apartment,2,1.0,1,162,250,125,97.0,0,within an hour,1,10,38.92859,-77.05629
501623,Takoma,Townhouse,2,2.0,2,98,750,150,100.0,0,,5,89,38.96644000000001,-77.03348000000003
501809,Shaw,Townhouse,2,1.5,1,73,200,50,98.0,1,within a few hours,2,1125,38.91255,-77.01999
519159,Howard University,House,7,2.5,3,490,1000,250,97.0,1,within a few hours,4,60,38.91516,-77.02953000000002
524237,Downtown,Apartment,2,1.0,1,275,0,0,98.0,0,within a day,1,1125,38.89334,-77.02109
525672,Capitol Hill,Apartment,4,1.0,1,85,250,85,97.0,1,within an hour,2,30,38.8814,-76.98874
529077,Kalorama Heights,House,2,1.0,1,125,0,50,,0,,3,1125,38.92671,-77.03971999999997
538598,Union Station,House,5,1.5,2,125,0,0,95.0,0,,4,1124,38.89884,-76.9973
542144,Capitol Hill,Townhouse,2,1.0,1,145,500,75,98.0,0,within an hour,1,730,38.88753,-76.99453000000003
556729,Columbia Heights,Townhouse,2,2.5,1,65,0,10,89.0,0,a few days or more,1,365,38.92973,-77.01939
560341,Brightwood Park,House,2,1.0,1,59,0,25,94.0,1,within a few hours,30,10000,38.94314,-77.04345
561697,Edgewood,Apartment,6,1.0,1,102,100,80,95.0,1,within an hour,2,20,38.91101,-77.00776
586981,Columbia Heights,Townhouse,2,2.0,1,60,175,25,97.0,1,within an hour,1,21,38.92414,-77.0285
594394,Georgetown,House,1,1.0,1,65,0,10,93.0,1,within a day,20,1125,38.91528,-77.0745
594405,Georgetown,House,2,1.0,1,65,0,10,84.0,1,within a day,6,1125,38.91426,-77.07579
597862,Capitol Hill,Townhouse,1,1.0,1,35,500,45,95.0,0,,2,180,38.8817,-76.98696
601180,North Cleveland Park,House,2,,1,190,0,0,,0,,2,14,38.94935,-77.05946
610655,Brightwood Park,Condominium,4,1.0,1,79,150,0,92.0,0,,2,1125,38.95802,-77.02202
620849,Shaw,Apartment,4,1.0,1,115,100,0,94.0,0,,2,365,38.90694000000001,-77.03203
621201,Kalorama Heights,Apartment,2,,1,45,0,0,,0,,1,1125,38.91737,-77.0441
623476,Edgewood,Townhouse,4,3.0,2,250,3800,160,,0,,14,30,38.91947,-77.01187
626868,Howard University,Apartment,3,1.0,1,150,100,100,91.0,0,within an hour,2,10,38.91492,-77.01724
630062,Howard University,House,8,2.5,3,300,250,150,95.0,0,within an hour,2,14,38.9158,-77.01674
635399,Dupont Circle,Condominium,2,1.0,1,125,0,75,93.0,0,a few days or more,180,360,38.90767,-77.0396
648093,Edgewood,Townhouse,3,1.0,2,120,200,50,97.0,0,within an hour,3,25,38.91574,-77.0058
653865,Takoma,Bungalow,2,1.0,1,55,250,50,92.0,0,within a day,2,1125,38.97122,-77.01536999999998
667954,Edgewood,Apartment,1,1.0,1,55,0,0,97.0,1,within an hour,2,30,38.91502,-77.00153
669941,Columbia Heights,Apartment,6,1.0,1,125,400,90,97.0,1,within an hour,4,180,38.92934,-77.03088000000002
674940,Union Station,Apartment,4,1.0,1,150,0,100,97.0,0,within an hour,3,121,38.89705,-77.00146
688914,Douglas,Townhouse,2,1.0,1,150,0,0,100.0,1,within a few hours,2,1125,38.84948,-76.97921
694383,Spring Valley,Apartment,4,1.0,1,135,175,70,95.0,0,,2,7,38.9289,-77.08415
705901,Brightwood Park,House,1,3.5,1,120,0,0,100.0,0,,2,1125,38.93841,-77.01746
713529,Southwest Employment Area,House,3,1.0,1,60,200,20,87.0,0,within an hour,1,1125,38.87182,-77.01231
722114,Columbia Heights,Guest suite,6,1.0,0,99,200,35,96.0,1,within an hour,1,30,38.92537,-77.02761
748316,Union Station,Guesthouse,2,1.0,1,99,0,50,97.0,1,within an hour,2,30,38.89532,-76.98873
754037,Sheridan,Condominium,2,1.0,1,62,0,20,96.0,0,,2,60,38.86048,-76.98921
763569,Cleveland Park,Apartment,2,1.0,1,99,100,50,96.0,1,within a few hours,30,1000,38.93509,-77.05752
765577,Columbia Heights,House,1,1.0,1,195,0,0,,0,,1,29,38.93103,-77.04064
782970,Columbia Heights,Apartment,4,1.0,1,150,0,70,96.0,0,,7,90,38.93432,-77.0418
784186,Columbia Heights,Apartment,5,2.0,2,249,200,200,95.0,0,within an hour,21,365,38.92748,-77.03822
792578,River Terrace,Townhouse,6,2.5,2,400,200,0,88.0,0,,2,5,38.88336,-76.95063
800076,Howard University,Townhouse,3,1.0,0,105,0,125,95.0,1,within an hour,1,365,38.91721,-77.02981
801699,Dupont Circle,Loft,2,1.0,1,150,1000,85,98.0,0,within a day,180,1125,38.91022,-77.04115999999998
808830,Cathedral Heights,House,5,2.5,2,110,0,25,98.0,1,within a few hours,1,30,38.92314,-77.07672
815855,Shaw,Apartment,4,1.0,1,115,400,90,84.0,0,within an hour,4,365,38.90692,-77.02424
818106,Union Station,Condominium,4,1.0,2,40,100,50,100.0,0,,3,1125,38.89318,-76.97821
818308,Colonial Village,Guest suite,3,1.0,1,99,0,0,,0,within an hour,3,1125,38.9933,-77.04081
820108,Columbia Heights,Condominium,2,1.0,1,139,500,200,89.0,0,within an hour,60,720,38.92747,-77.03845
825969,Edgewood,Townhouse,8,3.0,3,500,600,85,91.0,0,within an hour,2,30,38.91521,-77.00099
826087,Edgewood,Guest suite,8,1.0,2,80,300,55,86.0,0,within an hour,2,60,38.91299,-77.00237
828497,Friendship Heights,House,4,2.0,2,120,0,0,98.0,1,within an hour,2,1125,38.94291,-77.07173
834961,Union Station,Apartment,2,1.0,1,79,0,20,90.0,0,,1,21,38.89725,-76.97125
835992,Spring Valley,House,2,1.0,1,55,0,60,93.0,0,within a day,3,1125,38.93005,-77.10022
