neighborhood,property_type,accommodates,bathrooms,bedrooms,price,cleaning_fee,rating,superhost,response_time,latitude,longitude
Union Station,Condominium,2,1.0,1,90,0,99.0,No,,38.90565,-77.00009
Kalorama Heights,Apartment,5,1.5,2,198,99,97.0,Yes,within an hour,38.92324,-77.04637
Dupont Circle,Apartment,5,1.5,2,400,0,97.0,No,,38.91566,-77.03709
Shaw,Apartment,3,1.0,1,157,65,97.0,Yes,within an hour,38.90921,-77.02183000000002
Dupont Circle,Townhouse,2,1.5,1,83,70,93.0,No,within an hour,38.91722,-77.04001
Dupont Circle,Apartment,4,1.0,1,100,59,96.0,Yes,within an hour,38.91261,-77.03909
Shaw,Apartment,2,1.0,1,70,100,100.0,No,,38.91238,-77.02671
Dupont Circle,Apartment,6,2.0,2,150,0,100.0,No,,38.91769,-77.03576
Union Station,Apartment,6,1.0,1,139,75,98.0,Yes,within an hour,38.89294,-76.99602
Dupont Circle,Townhouse,2,1.5,1,83,70,98.0,No,within an hour,38.91722,-77.04001
Dupont Circle,Apartment,6,1.0,2,195,150,87.0,No,within an hour,38.90957,-77.04356999999997
Columbia Heights,Apartment,1,1.0,1,65,0,100.0,No,,38.93429,-77.0442
Shaw,Condominium,3,2.0,2,185,30,100.0,Yes,within a few hours,38.91299,-77.03374000000002
Brightwood Park,House,2,1.0,1,50,0,80.0,No,,38.93622,-77.02719
Union Station,Townhouse,2,1.5,1,70,5,94.0,No,,38.90423,-76.99757
Dupont Circle,Apartment,3,1.0,1,250,25,100.0,No,,38.91234,-77.0346
Union Station,Apartment,2,1.0,1,125,40,92.0,No,,38.90606,-77.00542
Columbia Heights,House,4,2.0,2,225,150,98.0,No,,38.92373,-77.02837
Capitol Hill,Apartment,2,1.0,0,125,125,100.0,Yes,within an hour,38.88972,-76.99663000000002
Shaw,Apartment,2,1.0,1,140,40,98.0,Yes,within an hour,38.90829,-77.02681
Capitol Hill,House,2,1.0,1,70,5,94.0,No,within an hour,38.88474,-76.9789
Columbia Heights,House,6,3.5,3,325,99,100.0,No,,38.93545,-77.02766
Columbia Heights,Apartment,4,1.0,1,119,65,98.0,No,within a few hours,38.932,-77.03873
Edgewood,Apartment,4,1.0,2,149,70,98.0,Yes,within an hour,38.91607,-77.01305
Capitol Hill,Townhouse,6,1.5,2,200,75,98.0,No,,38.8814,-76.99424
Columbia Heights,Apartment,1,0.0,1,130,0,100.0,No,,38.93276,-77.0318
Union Station,House,2,1.0,1,90,0,,No,,38.8983,-76.99075
Union Station,House,7,1.0,2,144,80,98.0,Yes,within an hour,38.89328,-76.98659
Dupont Circle,Apartment,3,1.0,1,175,80,90.0,No,within a few hours,38.91856,-77.03473000000002
Shaw,Apartment,2,1.0,2,46,0,82.0,No,within a day,38.90648,-77.02878
Dupont Circle,Apartment,2,1.0,1,75,0,100.0,No,,38.91131,-77.04731
Shaw,Condominium,4,1.0,1,75,75,97.0,Yes,within an hour,38.90986,-77.02758
Columbia Heights,Apartment,4,1.0,1,83,59,95.0,No,within an hour,38.92879,-77.018
Capitol Hill,Apartment,4,1.0,1,145,110,95.0,Yes,within an hour,38.89034,-77.00323
Shaw,Apartment,1,1.0,1,100,0,100.0,No,,38.90762,-77.03062
Edgewood,Condominium,1,1.0,1,68,55,98.0,No,,38.92033,-77.00426
Brightwood Park,Townhouse,3,1.0,1,78,75,85.0,No,within an hour,38.94682,-77.02303
Shaw,Apartment,2,1.5,1,150,0,100.0,No,,38.90828,-77.02318000000002
Union Station,House,4,1.0,2,120,0,,No,within a day,38.90639,-77.00111
Union Station,Apartment,3,1.0,1,144,125,97.0,Yes,within an hour,38.89669,-77.0016
Columbia Heights,Apartment,2,1.0,1,89,0,80.0,No,,38.92186,-77.03365
Shaw,House,2,1.5,1,80,20,99.0,Yes,within an hour,38.91149,-77.02117
Union Station,House,7,2.5,2,271,85,95.0,Yes,,38.89308,-76.9829
Union Station,House,2,1.0,1,80,25,98.0,Yes,,38.89302,-76.98222
Shaw,Apartment,2,1.0,0,80,20,100.0,No,,38.90621,-77.02316
Dupont Circle,Apartment,4,1.0,1,145,75,94.0,No,within an hour,38.90966,-77.04647
Union Station,Apartment,4,1.0,2,200,0,,No,,38.8975,-76.98997
Union Station,Townhouse,2,1.0,1,140,0,,No,,38.90138,-76.99306999999997
Shaw,Apartment,4,1.0,1,120,50,98.0,Yes,within an hour,38.90987,-77.02141999999998
Dupont Circle,Condominium,1,1.0,1,85,75,100.0,Yes,within a day,38.91446,-77.04303
Shaw,Townhouse,6,2.5,2,160,120,97.0,No,within an hour,38.91315,-77.02471
Brightwood Park,House,2,1.0,1,50,0,,No,,38.9459,-77.04347
Capitol Hill,Apartment,3,1.0,0,109,60,98.0,Yes,within an hour,38.89162,-76.99958000000002
Dupont Circle,Apartment,2,1.0,0,140,20,100.0,No,,38.90961,-77.0373
Edgewood,Apartment,2,1.0,1,65,0,,No,,38.91508,-77.01111999999998
Edgewood,Apartment,2,1.0,0,79,25,88.0,No,within an hour,38.91347,-77.01039
Edgewood,House,2,1.0,1,70,20,95.0,No,,38.91832,-77.00384
Kalorama Heights,Apartment,3,1.0,1,100,80,96.0,No,,38.91482,-77.04781
Edgewood,Apartment,2,1.0,1,61,0,95.0,No,,38.91906,-77.00995
Edgewood,Townhouse,1,1.0,1,184,0,100.0,No,,38.91756,-77.01178
Columbia Heights,Apartment,2,1.0,1,70,0,,No,,38.92753,-77.02956999999998
Columbia Heights,Townhouse,2,1.0,1,115,35,99.0,No,,38.92132,-77.03126999999998
Dupont Circle,Apartment,5,1.0,1,175,150,88.0,No,within an hour,38.90776,-77.04330999999998
Capitol Hill,Apartment,4,1.0,0,165,125,96.0,Yes,within an hour,38.88999,-77.00228
Capitol Hill,Apartment,2,1.0,0,145,155,94.0,Yes,within an hour,38.89014,-77.00021
Capitol Hill,Apartment,2,1.0,1,125,40,99.0,Yes,within an hour,38.88156,-76.99892
Kalorama Heights,Apartment,2,1.0,1,80,0,,No,,38.91131,-77.0509
Edgewood,Condominium,4,2.0,2,225,100,,No,,38.91409,-77.01623000000002
Union Station,Townhouse,4,1.0,1,200,50,99.0,Yes,within a day,38.89779,-76.99511
Union Station,Townhouse,2,1.0,1,86,20,98.0,Yes,within an hour,38.90297,-76.99476999999997
Columbia Heights,Townhouse,1,1.0,1,65,0,97.0,No,within a few hours,38.92458,-77.02942
Capitol Hill,Condominium,3,1.0,1,225,75,96.0,No,a few days or more,38.88098,-76.99079
Columbia Heights,Apartment,2,1.0,1,85,100,,No,,38.92157,-77.03171
Dupont Circle,Apartment,2,1.0,1,180,50,100.0,No,,38.91271,-77.03671
Union Station,Townhouse,6,1.5,3,249,125,100.0,Yes,within an hour,38.89659,-77.00222
Edgewood,Townhouse,2,1.0,1,85,75,100.0,No,within a day,38.91234,-77.0075
Shaw,Apartment,4,1.5,1,135,75,98.0,Yes,within an hour,38.90737,-77.0248
Capitol Hill,Apartment,6,1.0,1,110,65,99.0,Yes,within a few hours,38.88824,-76.98924
Shaw,Apartment,2,1.0,1,100,25,70.0,No,,38.9068,-77.02882
Kalorama Heights,Apartment,4,1.0,1,139,65,99.0,Yes,within a day,38.9242,-77.04585
Brightwood Park,House,2,1.0,1,50,25,96.0,Yes,,38.94828,-77.03357
Brightwood Park,Apartment,2,1.0,1,85,25,100.0,No,,38.9364,-77.02568000000002
Columbia Heights,Apartment,7,1.0,1,151,98,91.0,Yes,within an hour,38.93208,-77.04225
Columbia Heights,Townhouse,2,1.0,1,90,35,99.0,Yes,within a few hours,38.92879,-77.02512
Shaw,Apartment,3,1.0,1,135,0,100.0,No,,38.91134,-77.02084
Edgewood,House,1,1.5,1,63,39,96.0,Yes,within an hour,38.91875,-77.00281
Kalorama Heights,Apartment,4,1.0,0,79,0,98.0,No,,38.92508,-77.04249
Columbia Heights,Apartment,2,1.0,1,97,38,100.0,No,,38.92802,-77.02356999999998
Kalorama Heights,Apartment,3,1.0,1,125,75,100.0,No,,38.92374,-77.03737
Union Station,Apartment,4,1.0,1,92,100,100.0,No,within a day,38.89456,-76.99531
Shaw,Townhouse,2,1.5,1,88,80,98.0,No,within a few hours,38.9098,-77.02224
Shaw,Condominium,4,1.0,1,250,75,99.0,No,within a day,38.90822,-77.02879
Shaw,Apartment,2,1.0,1,69,65,96.0,No,within an hour,38.90922,-77.02396
Capitol Hill,House,1,1.0,1,62,12,98.0,No,,38.88884,-76.99698000000002
Brightwood Park,Apartment,4,1.0,1,100,30,98.0,No,within a few hours,38.93617,-77.0415
Capitol Hill,Apartment,2,1.0,0,119,119,98.0,Yes,within a few hours,38.88957,-76.98987
Columbia Heights,Apartment,2,1.0,2,145,80,95.0,No,within an hour,38.93276,-77.01955
Columbia Heights,House,5,1.5,2,145,90,95.0,No,within a day,38.9256,-77.0263
Shaw,House,5,2.5,2,269,0,100.0,No,,38.90611,-77.01545
Brightwood Park,House,3,1.0,1,104,45,98.0,Yes,within an hour,38.94036,-77.0183
Edgewood,Townhouse,2,1.0,1,60,20,97.0,Yes,within a few hours,38.90709,-77.01118000000002
Edgewood,Condominium,2,1.0,1,70,15,94.0,No,,38.91407,-77.01399
Shaw,House,2,1.0,1,119,60,91.0,No,within an hour,38.90796,-77.02538
Capitol Hill,Apartment,4,1.0,1,125,125,97.0,Yes,within an hour,38.89064000000001,-76.99754
Capitol Hill,Apartment,4,1.0,1,165,110,100.0,Yes,within an hour,38.89064000000001,-76.99754
Dupont Circle,Apartment,4,1.0,1,95,0,97.0,Yes,within an hour,38.91374,-77.03842
Union Station,Apartment,3,1.0,1,75,50,97.0,Yes,within an hour,38.89767,-76.97176999999998
Union Station,Apartment,3,1.0,1,101,0,90.0,No,,38.90607,-77.00106
Union Station,Apartment,1,1.0,1,140,0,,No,,38.90151,-77.00256999999998
Columbia Heights,Townhouse,2,2.0,1,42,25,95.0,No,within an hour,38.93038,-77.03734
Columbia Heights,House,1,1.0,1,55,90,99.0,Yes,within an hour,38.9347,-77.04257
Dupont Circle,Apartment,6,1.0,2,159,110,90.0,Yes,within an hour,38.91358,-77.04325
Dupont Circle,Apartment,3,1.0,1,150,50,100.0,No,,38.91197,-77.03803
Columbia Heights,House,2,1.0,1,99,55,99.0,No,within an hour,38.93406,-77.02676
Edgewood,House,2,1.5,1,50,0,96.0,No,,38.91808,-77.01049
Union Station,House,2,1.0,1,55,0,93.0,No,,38.90178,-76.98915
Kalorama Heights,Apartment,3,1.0,1,90,60,97.0,No,,38.92539,-77.04188
Dupont Circle,Apartment,3,1.0,1,149,80,100.0,No,,38.91174,-77.03875
Brightwood Park,Apartment,2,1.0,1,44,9,92.0,No,within an hour,38.95915,-77.03223
Kalorama Heights,Condominium,2,2.0,1,130,100,100.0,No,,38.92439,-77.04411
Shaw,Apartment,4,1.0,1,115,50,93.0,No,within an hour,38.90881,-77.01772
Brightwood Park,Townhouse,8,2.5,3,268,125,94.0,No,within an hour,38.94871,-77.02415
Columbia Heights,Apartment,2,1.0,1,140,20,,No,,38.92232,-77.03099
Edgewood,Apartment,3,1.5,1,70,90,94.0,Yes,within an hour,38.90724,-77.0127
Kalorama Heights,Apartment,3,1.0,0,90,0,100.0,No,,38.91701,-77.04467
Edgewood,House,2,1.0,1,68,25,96.0,No,within a few hours,38.91224,-77.01055
Union Station,House,2,1.0,1,90,40,93.0,No,,38.89491,-77.00248
Dupont Circle,Apartment,4,1.0,2,150,100,92.0,No,,38.91114,-77.0381
Columbia Heights,Townhouse,6,2.5,3,250,200,,No,within a few hours,38.93244,-77.04106999999998
Shaw,Apartment,2,1.0,1,150,70,100.0,No,,38.9133,-77.03331999999997
Edgewood,Condominium,3,1.0,1,400,50,100.0,No,,38.91253,-77.01026999999998
Union Station,House,5,1.0,2,100,45,80.0,No,,38.9013,-76.98944
Capitol Hill,House,1,2.5,1,69,0,,No,,38.88317,-76.98958
Capitol Hill,Apartment,4,1.0,1,165,95,99.0,Yes,within an hour,38.89122,-77.00206999999997
Shaw,Apartment,6,2.5,2,210,90,97.0,Yes,within an hour,38.90638,-77.01586999999998
Columbia Heights,Apartment,2,1.0,1,89,49,96.0,Yes,,38.93475,-77.02351
Columbia Heights,Condominium,2,1.0,1,80,20,96.0,No,within a day,38.92561,-77.03259
Kalorama Heights,Apartment,4,1.0,1,115,55,90.0,No,within an hour,38.92463,-77.0402
Edgewood,Condominium,2,1.0,1,70,10,91.0,No,within a few hours,38.91497,-77.00256
Capitol Hill,Apartment,4,1.0,1,118,75,,No,,38.87946,-76.98706
Dupont Circle,Apartment,2,1.0,0,95,50,90.0,No,,38.91076,-77.03828
Union Station,House,8,2.0,4,225,75,94.0,No,,38.90607,-77.00063
Edgewood,House,1,1.0,1,64,50,90.0,No,within a day,38.91327,-77.00376999999997
Capitol Hill,Apartment,4,1.0,0,90,0,93.0,No,,38.88471,-77.00310999999998
Shaw,Townhouse,2,1.0,1,155,25,100.0,No,,38.90635,-77.02355
Shaw,Apartment,1,1.0,1,100,0,,No,,38.90878,-77.02363000000003
Brightwood Park,House,2,1.0,1,35,0,100.0,Yes,within an hour,38.94953,-77.02516
Union Station,House,4,1.5,2,195,75,,No,,38.89889,-76.99583
Dupont Circle,Condominium,2,1.0,1,75,15,93.0,No,within a day,38.91496,-77.04243000000002
Capitol Hill,House,8,1.5,3,200,150,99.0,Yes,within an hour,38.88528,-76.98363
Capitol Hill,House,9,3.5,4,450,150,100.0,Yes,within an hour,38.88553,-77.00664
Union Station,Apartment,3,1.0,1,125,80,97.0,Yes,within a day,38.90487,-76.99985
Union Station,Apartment,2,1.0,0,88,25,,No,,38.89553,-77.00239
Edgewood,House,1,1.0,1,68,50,96.0,No,within a day,38.91386,-77.00324
Union Station,Apartment,3,1.0,0,75,25,92.0,No,within an hour,38.89702,-76.9715
Edgewood,House,1,1.0,1,75,50,97.0,No,within a day,38.91409,-77.00322
Brightwood Park,Apartment,3,1.0,1,145,0,,No,,38.93919,-77.02637
Shaw,Townhouse,1,1.0,1,69,100,96.0,No,,38.91177,-77.02239
Edgewood,House,2,1.5,1,73,55,98.0,Yes,within an hour,38.91152,-77.01246
Kalorama Heights,Apartment,3,1.0,1,150,45,100.0,No,,38.91826,-77.04245999999998
Edgewood,Apartment,2,1.0,1,50,10,93.0,No,within a few hours,38.91438,-77.00972
Kalorama Heights,Apartment,3,1.0,1,120,15,96.0,No,,38.92596,-77.03999
Shaw,Townhouse,8,2.0,3,375,150,97.0,Yes,within an hour,38.90568,-77.01557
Columbia Heights,Apartment,2,1.0,1,150,35,,No,,38.92773,-77.03855
Columbia Heights,House,1,1.0,1,100,20,,No,within an hour,38.93157,-77.02225
Shaw,Apartment,6,1.0,2,170,85,99.0,Yes,within an hour,38.91002,-77.03415
Shaw,Apartment,2,1.0,1,149,35,98.0,No,,38.90639,-77.02935
Dupont Circle,Condominium,2,1.0,1,259,75,100.0,No,,38.91052,-77.04478
Capitol Hill,House,4,1.0,2,190,75,,No,,38.87942,-76.99655
Brightwood Park,Apartment,2,1.0,1,50,0,100.0,No,,38.93851,-77.02557
Capitol Hill,House,9,3.0,3,79,75,96.0,Yes,within an hour,38.88476,-76.98195
Kalorama Heights,Apartment,2,1.0,1,225,60,100.0,No,within a few hours,38.91265,-77.04893
Brightwood Park,House,6,1.0,3,250,125,,No,,38.94421,-77.01549
Columbia Heights,House,6,2.5,4,216,50,,No,,38.93095,-77.0409
Dupont Circle,Apartment,6,1.0,2,349,95,97.0,Yes,within an hour,38.9091,-77.04769
Kalorama Heights,Townhouse,3,1.0,1,109,39,98.0,Yes,within an hour,38.91674,-77.05836
Capitol Hill,House,5,1.0,2,200,120,,No,,38.88912,-76.99265
Shaw,Apartment,2,1.0,1,120,20,,No,,38.90697,-77.03055
Edgewood,House,2,1.0,1,65,50,95.0,No,,38.92399,-77.00159000000002
Edgewood,Apartment,4,1.0,1,61,50,96.0,No,,38.91649,-77.00771
Brightwood Park,House,1,0.0,1,65,50,97.0,Yes,within a few hours,38.9453,-77.02516
Shaw,Apartment,5,1.0,2,150,20,100.0,No,,38.91288,-77.02991999999998
Capitol Hill,Townhouse,6,2.5,2,248,130,97.0,Yes,within an hour,38.88011,-76.9876
Capitol Hill,Apartment,4,1.0,1,126,83,94.0,Yes,within an hour,38.88084,-76.98808000000002
Capitol Hill,House,3,1.0,1,70,40,98.0,Yes,within an hour,38.89183,-76.99488000000002
Capitol Hill,Townhouse,10,3.5,3,399,175,97.0,Yes,within an hour,38.88011,-76.9889
Shaw,Apartment,4,1.0,1,121,50,98.0,Yes,within a day,38.91179,-77.02956
Columbia Heights,Apartment,6,1.0,2,250,80,96.0,No,,38.92793,-77.02909
Shaw,Apartment,2,1.0,1,59,0,100.0,No,,38.90826,-77.02078
Dupont Circle,Apartment,3,1.0,1,110,25,,No,,38.91011,-77.04993
Columbia Heights,Townhouse,2,1.0,1,89,40,97.0,Yes,,38.9342,-77.04456
Edgewood,Townhouse,4,1.0,1,179,75,99.0,No,within a few hours,38.91189,-77.01441
Union Station,Townhouse,6,2.0,3,135,49,97.0,No,within an hour,38.89846,-76.99324
Edgewood,Apartment,2,1.0,0,69,75,93.0,No,within a day,38.91342,-77.01193
Edgewood,House,2,1.0,1,100,10,100.0,No,,38.91081,-77.01115
Capitol Hill,House,8,2.5,4,200,125,100.0,No,,38.88157,-76.98626
Union Station,Apartment,4,1.0,1,99,60,98.0,Yes,within an hour,38.90124,-76.99858
Dupont Circle,Apartment,3,1.0,1,109,39,97.0,No,,38.91643,-77.0405
Capitol Hill,Townhouse,6,1.0,2,150,100,95.0,Yes,within an hour,38.88494,-76.9858
Brightwood Park,Apartment,2,1.0,1,75,30,99.0,Yes,within a few hours,38.94369,-77.01723
Brightwood Park,House,2,1.0,1,70,25,,No,,38.95108,-77.03593000000002
Columbia Heights,Apartment,4,1.0,1,89,79,100.0,No,,38.92804,-77.02278000000003
Union Station,Apartment,3,1.0,0,125,65,99.0,Yes,within an hour,38.90077,-77.00024
Capitol Hill,House,2,1.0,1,65,5,94.0,No,within an hour,38.88264,-76.97948000000002
Capitol Hill,House,2,1.0,1,65,5,95.0,No,within an hour,38.88453,-76.98048
Union Station,House,4,2.5,2,150,40,,No,,38.89508,-76.9862
Shaw,House,1,1.0,1,70,65,99.0,Yes,within a few hours,38.90837,-77.01939
Columbia Heights,Townhouse,2,1.0,1,50,20,100.0,No,,38.92889,-77.02841
Union Station,House,4,1.0,1,125,0,100.0,No,a few days or more,38.89407,-76.98666999999998
Shaw,Condominium,2,1.0,1,175,40,100.0,No,within a day,38.90701,-77.02521
Kalorama Heights,Apartment,5,1.0,2,149,110,96.0,No,within a day,38.91658,-77.04301
Columbia Heights,Townhouse,8,2.5,4,249,0,98.0,Yes,within an hour,38.92615,-77.0263
Capitol Hill,Apartment,3,1.0,1,105,40,97.0,Yes,within an hour,38.88046,-76.98661
Brightwood Park,House,2,1.0,1,70,35,,No,,38.95273,-77.02266999999998
Kalorama Heights,Apartment,2,1.0,0,129,0,96.0,No,,38.9258,-77.03849
Edgewood,Apartment,4,1.0,1,125,45,98.0,Yes,within an hour,38.91398,-77.01066999999998
Capitol Hill,Apartment,4,1.0,2,379,20,100.0,No,,38.88284,-77.00291
Union Station,Apartment,3,1.5,0,88,60,100.0,Yes,within a few hours,38.89385,-76.99204
Kalorama Heights,House,1,1.5,1,73,70,93.0,Yes,within an hour,38.9195,-77.04385
Columbia Heights,Apartment,2,1.0,1,25,0,,No,,38.93319,-77.03793
Columbia Heights,Apartment,3,1.0,1,95,0,,No,,38.92917,-77.03063
Union Station,Townhouse,8,2.0,3,220,90,99.0,No,,38.89973,-76.98863
Kalorama Heights,Condominium,2,1.0,0,90,80,98.0,Yes,within an hour,38.92555,-77.04019
Brightwood Park,Townhouse,9,1.0,3,193,75,100.0,No,,38.94374000000001,-77.01576
Capitol Hill,House,2,1.5,1,90,20,92.0,No,,38.87799,-76.99014
Columbia Heights,Condominium,4,2.5,2,200,100,100.0,No,,38.93501,-77.03199000000002
Shaw,Apartment,2,1.0,1,95,95,99.0,Yes,within an hour,38.91316,-77.02972
Columbia Heights,Apartment,3,1.0,1,74,35,98.0,Yes,within an hour,38.93275,-77.02418
Union Station,Townhouse,10,2.5,3,350,145,94.0,No,within an hour,38.90198,-77.00018
Dupont Circle,Apartment,2,1.0,0,150,0,100.0,No,,38.91243,-77.0432
Edgewood,Apartment,4,1.0,1,89,5,97.0,Yes,within an hour,38.91018,-77.00523000000003
Shaw,Condominium,5,2.0,2,282,95,96.0,No,within a few hours,38.90979,-77.02945
Columbia Heights,Apartment,4,1.0,0,120,30,,No,,38.93315,-77.03259
Edgewood,Apartment,2,1.0,1,150,20,100.0,No,within a few hours,38.91836,-77.01455
Edgewood,Townhouse,2,1.0,1,100,35,93.0,No,,38.91,-77.01196999999998
Capitol Hill,Apartment,4,1.0,1,138,75,95.0,Yes,within an hour,38.88603,-76.99845
Brightwood Park,Condominium,3,1.0,1,50,10,97.0,Yes,,38.9408,-77.03228
Columbia Heights,Condominium,2,1.0,1,79,38,76.0,No,,38.92211,-77.02983
Union Station,House,2,1.0,1,250,150,,No,,38.9031,-77.00421
Dupont Circle,Apartment,7,2.0,3,300,150,90.0,No,within an hour,38.91747,-77.03806999999998
Columbia Heights,Condominium,3,1.0,1,80,30,80.0,No,,38.92447,-77.02503
Brightwood Park,Apartment,2,1.0,1,105,10,98.0,No,,38.94266,-77.02676
Edgewood,Apartment,1,1.0,1,96,0,99.0,Yes,within an hour,38.90905,-77.00443
Dupont Circle,Condominium,2,1.0,1,125,200,,No,,38.91416,-77.03753
Shaw,Apartment,4,1.5,2,450,100,,No,,38.91302,-77.03218000000003
Kalorama Heights,Apartment,3,1.0,0,250,25,100.0,No,,38.92416,-77.04518
Columbia Heights,Apartment,2,1.0,1,95,0,98.0,Yes,within an hour,38.93242,-77.02703000000002
Capitol Hill,Townhouse,6,2.5,3,350,120,100.0,Yes,within a few hours,38.88675,-76.99502
Dupont Circle,Apartment,6,1.0,1,175,150,94.0,No,within an hour,38.91075,-77.04023000000002
Columbia Heights,House,1,1.0,1,50,10,80.0,No,,38.92859,-77.02535
Union Station,Apartment,4,1.0,1,150,50,99.0,No,within an hour,38.90451,-77.00025
Capitol Hill,Apartment,4,1.0,1,150,85,97.0,Yes,within an hour,38.89078,-76.99533000000002
Dupont Circle,Apartment,2,1.5,1,100,20,,No,,38.91143,-77.04173
Shaw,Apartment,2,1.0,1,400,30,,No,,38.91146,-77.03289000000002
Brightwood Park,Condominium,1,1.0,1,60,20,100.0,No,within a day,38.95979000000001,-77.03405
Shaw,House,2,1.5,1,85,60,100.0,No,,38.91254,-77.0224
Union Station,Apartment,5,1.0,1,169,50,97.0,No,within an hour,38.89426,-77.00276
Union Station,Apartment,4,1.0,1,285,70,91.0,No,within an hour,38.90651,-76.99986
Columbia Heights,Apartment,4,1.0,1,200,125,100.0,No,within an hour,38.92479,-77.03085
Columbia Heights,Apartment,2,1.0,1,65,0,93.0,No,,38.93186,-77.02566999999998
Edgewood,Apartment,2,1.0,1,100,10,100.0,No,,38.91581,-77.01399
Union Station,House,4,1.5,1,399,0,,No,,38.90228,-76.99396999999998
Columbia Heights,House,10,3.5,4,358,200,95.0,No,within a day,38.93507,-77.02934
Kalorama Heights,Apartment,2,1.0,1,200,60,,No,,38.91676,-77.04765
Columbia Heights,Apartment,3,1.0,1,110,20,100.0,No,within a day,38.93138,-77.04498000000002
Edgewood,Apartment,2,1.5,1,47,0,87.0,No,,38.92057,-77.01333000000002
Kalorama Heights,Apartment,1,1.0,1,45,25,,No,,38.91568,-77.0462
Kalorama Heights,Condominium,2,1.0,0,70,0,91.0,No,,38.9232,-77.03963
Capitol Hill,Condominium,4,1.0,1,450,0,93.0,No,,38.8837,-77.00134
Kalorama Heights,Apartment,4,1.0,1,115,100,94.0,Yes,within an hour,38.9248,-77.04301
Shaw,Apartment,2,1.0,1,187,40,100.0,No,,38.91333,-77.02926
Columbia Heights,Condominium,2,1.0,0,95,25,96.0,No,,38.93079,-77.0347
Edgewood,Apartment,1,1.0,1,30,5,91.0,No,,38.91686,-77.00824
Columbia Heights,Townhouse,5,2.5,2,150,115,96.0,Yes,within an hour,38.92477,-77.02556
Union Station,Apartment,2,1.0,0,95,75,99.0,No,,38.89303,-76.98946
Brightwood Park,Townhouse,5,2.5,3,160,76,98.0,Yes,,38.94493,-77.03546999999998
Shaw,Apartment,3,1.0,1,175,50,100.0,No,,38.90979,-77.02869
Union Station,House,4,1.0,1,110,20,97.0,No,within an hour,38.89334,-76.99625
Brightwood Park,House,2,1.0,1,120,20,80.0,No,within an hour,38.95146,-77.01834000000002
Columbia Heights,House,2,1.0,1,75,60,,No,within an hour,38.92478,-77.02821999999998
Edgewood,Condominium,2,1.0,1,95,35,100.0,No,,38.91518,-77.01029
Columbia Heights,Apartment,1,1.5,1,30,0,,No,,38.92855,-77.04037
Columbia Heights,Apartment,5,2.5,2,135,80,97.0,Yes,within an hour,38.93221,-77.02604000000002
Kalorama Heights,Apartment,5,2.0,2,25,15,100.0,No,,38.91161,-77.04894
Brightwood Park,House,6,1.0,3,190,40,95.0,No,,38.94015,-77.03255
Brightwood Park,Apartment,4,1.0,1,70,0,97.0,Yes,within an hour,38.93582,-77.02528000000002
Union Station,Townhouse,3,1.0,1,80,40,88.0,No,,38.89727,-76.99951999999998
Dupont Circle,Apartment,3,1.0,0,100,60,,No,,38.91561,-77.03881
Union Station,Townhouse,2,1.0,1,80,40,88.0,No,,38.89711,-76.99929
Shaw,House,2,1.0,1,65,15,96.0,No,,38.90818,-77.0303
Columbia Heights,House,2,1.0,1,65,60,100.0,No,within an hour,38.9244,-77.0285
Columbia Heights,House,4,1.0,1,85,60,,No,within an hour,38.9263,-77.03048000000003
Edgewood,Apartment,4,1.0,1,125,45,95.0,No,within a few hours,38.91562,-77.01154
Capitol Hill,Townhouse,2,1.5,1,295,75,,No,within a day,38.88383,-77.00627
Union Station,House,16,4.0,6,299,99,98.0,Yes,within an hour,38.90109,-76.99376
Kalorama Heights,Townhouse,1,1.0,1,60,35,94.0,No,within an hour,38.92383,-77.04552
Brightwood Park,House,2,1.0,1,300,0,,No,,38.95487,-77.01997
Edgewood,House,4,1.5,2,150,75,100.0,No,within a few hours,38.9124,-77.01219
Brightwood Park,Apartment,1,1.5,1,28,74,,No,,38.95524,-77.01592
Columbia Heights,Apartment,4,1.0,1,90,20,100.0,No,,38.92777,-77.027
Columbia Heights,Apartment,3,1.0,1,75,0,92.0,No,,38.93101,-77.02771
Capitol Hill,Apartment,5,1.0,1,199,0,96.0,No,within an hour,38.89185,-76.9867
Capitol Hill,Apartment,5,1.0,1,169,0,96.0,No,within an hour,38.89152,-76.98629
Brightwood Park,House,2,1.5,1,38,65,80.0,No,,38.95481,-77.01683
Edgewood,House,1,1.5,1,42,10,83.0,No,within a few hours,38.91519,-77.01080999999998
Kalorama Heights,Apartment,2,1.0,0,110,0,94.0,Yes,within an hour,38.92295,-77.04579
Union Station,Apartment,3,1.5,1,140,40,99.0,Yes,within an hour,38.90277,-76.99852
Columbia Heights,House,2,1.0,1,65,60,,No,within an hour,38.92516,-77.03002
Columbia Heights,House,2,1.0,1,65,60,100.0,No,within an hour,38.92574000000001,-77.03044
Columbia Heights,Apartment,5,1.0,1,125,165,96.0,No,within an hour,38.92626,-77.03005
Union Station,Apartment,4,1.5,1,135,79,98.0,Yes,within an hour,38.89871,-77.00289000000002
Capitol Hill,Townhouse,2,1.0,1,75,40,97.0,Yes,within a few hours,38.87822,-76.98786
Shaw,Apartment,6,1.0,1,100,40,96.0,No,within an hour,38.91266,-77.01902
Shaw,House,7,2.5,4,400,200,100.0,No,,38.91107,-77.02832
Kalorama Heights,Apartment,2,1.0,1,119,65,97.0,No,within an hour,38.92401,-77.04168
